Name,Followers,Country,Average Authentic,Average Engagement
fitbymeld,2.7K,Austria,274,452
sami_trainingscenter_wien,5.4K,Austria,119,143
johanniter.at,3.9K,Austria,164,197
arzu_s_ca,3.1K,Austria,226,312
melli_lutz,6.8K,Austria,118,161
hundetrainingleitner,12.3K,Germany,53,94
roteskreuzvorarlberg,6.3K,Austria,96,120
climbingpsychology,7.5K,Austria,82,110
stefanie.smly_,5.8K,Austria,121,152
simone_stocker,8.9K,Austria,83,131
mirela.coach,9.2K,Austria,72,98
fizjo_patka,2.8K,Austria,211,287
oeh_innsbruck,11.5K,Austria,49,52
walsergruppe,2.9K,Austria,193,232
wild.and.urban,5.6K,Austria,105,140
261fearless,14.8K,Austria,34,47
kaizen_mma,4.4K,Austria,121,165
beazhan_azhdari,8K,Austria,65,100
helenekrainer,8.6K,Austria,68,108
fachschule_feistritz,2.5K,Austria,190,250
roxxy_nardai_hurrikan,5.6K,Germany,91,137
steelwingslinz,3.3K,Austria,150,242
tayfunsaltas,7.3K,Austria,68,91
skn_jugend,2.5K,Austria,173,206
manuel.teufl,19.4K,Germany,25,41
basi_inst,5.1K,Austria,82,100
lisastampfer,4.1K,Austria,110,143
fasa_skincare_lia,3.7K,Austria,117,204
sandro_krt,3.4K,Austria,145,162
lisahoerzweberyoga,2.6K,Austria,172,187
bernhardtrainiert,5.2K,Austria,77,103
petra_pretti,4.4K,Austria,96,117
mona_arbinger,6.2K,Austria,72,98
olympiazentrumtirol,4.2K,Austria,101,123
msv__2020,2.5K,Austria,135,155
tws_helgepayer,4.8K,Austria,71,89
alexandra.kirchberger,2.4K,Austria,143,169
just__yoga__it,8.6K,Austria,46,63
maveletics,4.5K,Austria,77,116
fc.bergheim,2.2K,Austria,149,183
sandramlad,1.8K,Austria,185,252
javier_calderon_morales,5.6K,Austria,59,85
alpsfitnessacademy,3.8K,Austria,86,115
nataliaurora,6.8K,Austria,58,91
dr.veresh,3.4K,Austria,93,119
alexander.markl,2.5K,Austria,127,168
htlkrems,1.9K,Austria,154,180
roteskreuz_graz,2.7K,Austria,107,125
jamiek582,2.3K,Austria,120,188
danielmosercarpfishing,3.7K,Austria,77,113
noel_schmied_nt,2.2K,Austria,121,161
andreasblamauer_flyfishing,3.1K,Austria,84,110
markusscheer,3.7K,Austria,70,93
diving_steph,11.4K,Austria,21,27
siebererthomas,2.6K,Austria,83,104
austrian_swimming_federation,4.7K,Austria,64,786
max_muenster_,2.7K,Austria,86,165
citywaveat,4.1K,Austria,47,58
steinbachpools,9.3K,Austria,21,29
juergen_schaschl_nt,1.9K,Germany,105,178
vienna_stylefishing,2.9K,Austria,68,101
blanx_carpfishing,1.6K,Austria,115,159
fish_on_gaspoltshofen,2.3K,Austria,77,117
mwiesinga,2.2K,Austria,80,124
narzissendorf_zloam,3.9K,Austria,42,53
vienna_city_fishing,2K,Austria,87,157
pikehunters_austria,6.4K,Austria,47,493
windkraftsportaustria,9.7K,Austria,16,21
meunier.flo,1.5K,Austria,103,153
angelurlaub,2.2K,Austria,69,89
mark_domine_,2.1K,Austria,76,126
mkfishery,3K,Austria,51,73
sharquarium,3.3K,Austria,41,54
freibad.fuerstenfeld,2K,Austria,65,79
daniel_lugger_carpfishing,1.6K,Austria,87,108
daniela_mackh_dancestudios,2.3K,Austria,54,65
alpentherme_gastein,3.8K,Austria,31,40
supboxaustria,2.9K,Austria,38,48
swimcoach_vienna,1.9K,Austria,56,71
triathlonhulk,2.8K,Germany,39,56
denise_liane,1.3K,Austria,81,109
aquatic_baits,4.4K,Austria,24,39
pascal_carpfishing,2K,Austria,49,84
chris_flyboardshow,3.5K,Austria,28,55
betawellness,5.9K,Austria,22,273
exotenparadies_tirol,13.6K,Austria,9,109
aerial_amazons,2.6K,Austria,36,46
procenterlanzarote,1.5K,Austria,55,68
die_tauchschule,2.6K,Austria,32,41
wasserwachtburghausen,1.4K,Austria,63,94
mpa_fishing,3.6K,Austria,22,31
surfshop_usd.at,2.3K,Austria,41,51
schwerelos.wien,6.5K,Germany,11,16
woertherseeschifffahrt,2.5K,Austria,31,40
seta2907,1.2K,Austria,64,71
pole_kati,1.7K,Germany,39,64
valblu_bludenz,2.8K,Austria,22,30
guenthermatzinger,1.4K,Austria,42,58
maxfranzz,86.7K,Austria,771,1.1K
hahnenkammrennen,76.2K,Austria,868,1K
evamariabrem,70.8K,Austria,931,1.5K
joh_aenni,57.7K,Austria,1.2K,1.5K
tamara_tippler,43.6K,Austria,1.5K,2.1K
philipp.swrz,10K,Austria,6.4K,7.1K
nellaknauss,18.9K,Austria,3.3K,4.5K
gigiruf,105.8K,Austria,491,659
marcelstauffer401,29.9K,Austria,1.7K,2.2K
larasophie.pichler,26.9K,Austria,1.8K,2.5K
baumgartner_sam,45.9K,Austria,1.2K,1.5K
pistenkanone,52.8K,Austria,883,1.1K
onur_szr,19.6K,Austria,2.8K,5K
strolzangela,33.5K,Austria,1.5K,2K
_michael_strasser,31.2K,Austria,1.4K,1.6K
lukas.muellauer,29K,Austria,1.7K,2K
missy.julia,38.3K,Austria,1.2K,1.5K
mogli.vision,10.7K,Austria,4.5K,5.5K
bouncing_betti,23.7K,Austria,2K,2.6K
michikirchi,72.8K,Austria,535,642
viki_schnaderbeck,50K,Austria,855,1.1K
johannesluethi,118.5K,Austria,371,470
saramarita_kramer,27.5K,Austria,1.4K,1.8K
laravadlau,32.1K,Austria,1.3K,1.7K
planai_schladming,59.4K,Austria,590,647
handl_christoph,11.7K,Austria,3K,3.4K
thenightrace_schladming,8.7K,Austria,3.8K,4.5K
redbulleishockeyakademie,33.3K,Austria,939,1K
lechzuers,80.1K,Austria,377,419
hannesreichelt,85.6K,Austria,356,535
confettyboy,15.8K,Austria,2K,2.6K
franziskagritsch,25.9K,Austria,1.2K,1.5K
ercankara9,15.9K,Austria,1.9K,2.1K
nadinewallner,23.9K,Austria,1.3K,1.7K
kitzsteinhorn_official,66.8K,Austria,404,456
zimmermannlisa,56K,Austria,516,879
antonia_albrecht,13.2K,Austria,2K,2.4K
gregor_muehlberger,14.8K,Austria,1.9K,2.3K
ninachristina_hofa,10.2K,Austria,2.6K,4.5K
marijamat,29.3K,Austria,984,1.3K
bikeparkschladming,26.2K,Austria,1.1K,1.2K
carina.reicht,37.1K,Austria,709,916
obertauern_com,66.9K,Austria,375,414
michael__strauss,40.1K,Austria,691,1.4K
holyhohli,28.2K,Austria,1K,1.3K
alltimelaura,46.4K,Austria,569,725
silvrettamontafon,54.3K,Austria,410,441
annamaria.klocker,35.5K,Austria,745,970
herzerl10,24.2K,Austria,919,1.1K
o.solet_18,22.6K,Austria,1K,2.2K
donadelli,1.2M,India,9.9K,27.3K
thegodfatherofdogs,726.7K,Germany,1.4K,2.8K
kswiss_fit,64.5K,Switzerland,960,1.2K
adhsbeifrauen,23.7K,Switzerland,1K,1.3K
kanderstegscoutcentre,29.9K,Switzerland,741,940
jordiquintilla,17K,Switzerland,1.4K,1.7K
incendiesecoursgeneve,16.8K,Switzerland,587,703
youthbase_bscyb,4.7K,Switzerland,1.8K,2K
swisstraindriver,20.3K,Switzerland,373,470
goldenbody_laura,26.7K,Switzerland,244,281
vava_aerialist,69.5K,Switzerland,80,158
fcz_insider,7.6K,Switzerland,596,690
fabian.marco.graf,17.7K,Switzerland,223,310
elena.sandera,13.1K,Switzerland,240,331
infanterieschule_12,4.2K,Switzerland,664,838
marcwelti.hundetraining,7.3K,Switzerland,384,447
swissguncenter,11.8K,Switzerland,230,304
tobias_granath,10.2K,Switzerland,257,351
celsodacosta,21K,Switzerland,130,164
athayogazurich,18.1K,Switzerland,135,172
fpv1on1training,16K,Switzerland,155,253
lamettayoga,14.5K,Switzerland,179,270
fitcoachgalina,26.4K,Switzerland,97,183
dadogym,4.7K,Switzerland,470,537
celinevantill,21.6K,Switzerland,91,122
ajbwell,24.6K,Switzerland,76,125
fussballtrainer.blog,8.2K,Switzerland,190,221
moira.voyance,11.3K,Switzerland,139,210
art_of_motion_academy,13.4K,Switzerland,110,145
yoga_nora,15.7K,Switzerland,103,133
johnifrochajj,9.3K,Switzerland,158,318
fcschaffhausen,7.4K,Switzerland,181,222
claudiasmovement,24K,Switzerland,65,130
running.coach,7.7K,Switzerland,165,200
dr_cez,11.8K,Switzerland,107,181
janoschnietlispach,28.3K,Switzerland,49,88
john.lekatis,5.2K,Switzerland,217,326
gymperformance,44K,Switzerland,28,63
jorisamann,9.9K,Switzerland,105,134
silvanmassarotti,5.7K,Switzerland,187,245
bruegger_michel,320.4K,Switzerland,2,4
lorenajuliamedina,5.4K,Switzerland,180,226
arthroshoulder,12.5K,Switzerland,83,118
okawa_dojo,1.6K,Switzerland,527,681
explorethemovement,22.6K,Switzerland,37,63
mayaschaerer,3.9K,Switzerland,220,260
lbnutrition.ch,9.6K,Switzerland,86,103
diana.pecherska,14.7K,Switzerland,58,80
gabriel.palacios,15.4K,Switzerland,51,71
thelifetherapy.arabia,19.2K,Switzerland,50,102
noamyaron_,330.3K,Switzerland,6.7K,8.3K
sp80.record,92.3K,Switzerland,595,736
nataschaleisi,15.3K,Switzerland,3.1K,4.4K
danirodriguez.official,29.8K,Switzerland,1.2K,1.4K
alaia.bay,86.5K,Switzerland,328,408
wocptrainer,20K,Brazil,895,1.4K
kantonspolizei_aargau,23.5K,Switzerland,585,690
kualuah,27.4K,Switzerland,566,831
swissaquaticsswimming,8.5K,Switzerland,1.1K,1.2K
lisa_mamie,6.8K,Switzerland,833,984
worldtempus,24.1K,Switzerland,237,321
alice__izzo,12.7K,Switzerland,380,524
elena.sandera,13.1K,Switzerland,240,331
gasparfullsend,5.5K,Switzerland,512,783
livschoenbaechler,9.6K,Switzerland,261,434
justine_mettraux,9.1K,Switzerland,249,324
lainesurf,28.1K,Switzerland,91,237
vera_giampietro,8.9K,Switzerland,255,393
martin.hubmann,5K,Switzerland,407,466
swiss.judo.jujitsu,7.3K,Switzerland,265,297
catch_the_fish_,4.1K,Switzerland,445,713
urbansurf.zrh,12.3K,Switzerland,136,183
alina_carmen.p,2.3K,Switzerland,670,983
fishonswitzerland,8.1K,Switzerland,216,317
jdduval,4.6K,Switzerland,349,439
flying_gianandrea,4.6K,Switzerland,304,468
laurazurbriggen,8.4K,Switzerland,159,225
jaeger.fishing,11K,Switzerland,110,143
mariaugolkova,11.1K,Switzerland,112,192
alpamare_ch,9.2K,Switzerland,115,153
dorian.kramer,2.5K,Switzerland,422,506
lars_troutfishing,2K,Switzerland,486,735
kilian_braun,3.9K,Switzerland,240,407
segeln_lagomaggiore,5.4K,Switzerland,175,254
livia.fuerst,12.5K,Switzerland,72,106
skydiveswitzerland,6.4K,Switzerland,135,167
colineespejo,3.6K,Switzerland,239,293
okawa_dojo,1.6K,Switzerland,527,681
bungy_niouc,8.9K,Switzerland,91,111
fischen.ch,7.8K,Switzerland,105,115
rivanrock,3.2K,Switzerland,253,329
swisssailingteam,4.8K,Switzerland,160,185
helena_merten,6.5K,Switzerland,114,173
karylpais,3.3K,France,217,301
marc.a_flyfishingswitzerland,6.4K,Switzerland,117,160
mikekunzsurf,5.9K,Switzerland,133,201
oceancare_icare,8.3K,Switzerland,78,90
mimi_oceanchild,9.1K,Switzerland,84,139
andersonpereira.bjj,6.6K,France,100,142
aquaparc_officiel,12.6K,Switzerland,48,62
noah.arinze,1M,Switzerland,71.9K,96.8K
andriragettli,642.9K,Switzerland,54.2K,65.7K
donadelli,1.2M,India,9.9K,27.3K
marcoodermatt,399.6K,Switzerland,21.6K,24.7K
breelembolo97,445.2K,Germany,18.6K,32.2K
liawaelti,227.5K,Switzerland,15.5K,20.8K
corinnesuter_official,202.3K,Switzerland,10.5K,12.9K
wendyholdener,216.3K,Switzerland,9.5K,11.1K
robm70,249K,Switzerland,3.3K,4.2K
mujingakambundji,187.7K,Switzerland,4.1K,5.1K
janchristen04,81.8K,Switzerland,9.4K,11K
hubercop,376.4K,Switzerland,2K,3.3K
loicmeillard,92.4K,Switzerland,6.6K,7.5K
michellegisin,111.4K,Switzerland,5.2K,6.1K
giulia_steingruber,89.5K,Switzerland,5.5K,9.9K
jeremyseewer91,151.9K,Switzerland,3.1K,3.7K
mammut,552.5K,Switzerland,790,939
angelica_moser_,141K,Switzerland,2.9K,3.8K
bachmannr10,195.8K,Switzerland,1.7K,2.5K
steveguerdat,174.4K,Switzerland,1.6K,1.9K
ninabru.nner,52.5K,Switzerland,5.5K,7.3K
alinedanioth,60.7K,Switzerland,4.7K,5.5K
ditaji.k,58.8K,Switzerland,4.5K,6.3K
omlinjonas1,48.7K,Switzerland,5.3K,6.3K
ekaterina.luescher,60.6K,Switzerland,3.8K,5K
ange_loosa,68K,Switzerland,3.4K,4.5K
joanahaehlen,48.9K,Switzerland,3.9K,4.7K
sarah_atcho,99.6K,Switzerland,2K,2.7K
fannysmith,65.8K,Switzerland,2.6K,3.8K
g_caviezel,41.6K,Switzerland,3.9K,4.9K
geraldinefasnacht,79.3K,Switzerland,2.1K,2.6K
ajletta,63.2K,Switzerland,2.8K,4.1K
cam.bal,93K,Switzerland,1.8K,2.2K
mathilde_gremaud,73K,Switzerland,2.2K,2.8K
judithwyder,47.3K,Switzerland,3.2K,3.9K
jasmineflury,40.8K,Switzerland,3.4K,4.2K
sebastien_buemi,107.6K,Switzerland,1.2K,1.6K
matthiaswegeradventure,172.4K,Switzerland,726,1.4K
ramonzenhaeusern,64.4K,Switzerland,1.8K,2.1K
noeponti,33.4K,Switzerland,3.4K,4.8K
dariocologna,81.3K,Switzerland,1.4K,1.7K
lucashuppert,44.7K,Switzerland,2.6K,3K
kiliweibel,132K,Switzerland,764,1K
mike_pfister,26.4K,Switzerland,3.7K,4.8K
melissa.gutschmidt,39.1K,Switzerland,2.5K,3.4K
revier.hotel,9.3K,Switzerland,11K,13.5K
bigiii_,64.1K,Switzerland,1.4K,1.8K
melaniemeillard,40.7K,Switzerland,2.1K,2.5K
louisdeletraz,90.4K,Switzerland,811,1K
andizeqiri99,33.6K,Switzerland,2.3K,2.8K
nino.bllwl,3.6K,Switzerland,226,268
besabegu_dentalhygienist,10.7K,Switzerland,66,93
malinvschuler,2.6K,Switzerland,276,387
prokeycoach,12.9K,Switzerland,53,84
sensei_yves,7K,Switzerland,106,126
andersonpereira.bjj,6.6K,France,100,142
oriane_dx,11.1K,Switzerland,66,113
strike_academy_,5.5K,Switzerland,112,152
lifestyle_kristinaziegler,2.2K,Switzerland,296,363
ivan_vitalfit,6.1K,Switzerland,107,164
larissa.poledance,6.8K,Switzerland,90,126
corinne.ruf_,18.7K,Switzerland,44,72
lwtngkdo82,2.6K,Switzerland,217,257
coachboulanger,6.1K,Switzerland,92,118
kalypso.ade.neverenough,4.5K,Switzerland,133,206
limitlesscoaching_ch,7.6K,Switzerland,81,92
iuki_autismo_e_logopedia,6.8K,Switzerland,84,107
psi.vivianbandeira,10.1K,Switzerland,53,67
yasin.el.ninja,2.8K,Switzerland,193,224
zhigulin_yar,4K,Switzerland,134,168
athleticflow.ch,13.8K,Switzerland,42,58
esthereustache,3K,Switzerland,180,275
iamtaniamiklos,6K,Switzerland,88,119
rettungsg,2.4K,Switzerland,211,254
jade__acq,2.8K,Switzerland,182,290
pro_infirmis,6K,Switzerland,84,100
midyasofi,5.6K,Switzerland,93,127
shaolinchantempel,4.1K,Switzerland,103,128
sensopro,6.9K,Switzerland,67,75
thoemus_akros_youngstars,2.2K,Switzerland,193,230
sandadelsol,3.1K,Switzerland,159,243
jessicamaiapinto,4.5K,Switzerland,102,142
fcsgcheerleader,2.5K,Switzerland,156,185
laura_kim_rubin,3.6K,Switzerland,107,137
_anaissalome_,3.6K,Switzerland,114,145
marti.debi,2.8K,Switzerland,169,236
coach.raphaelschuler,9.8K,Switzerland,40,60
stvneuenkirch,1.8K,Switzerland,203,262
bre_henry6,2.7K,Switzerland,137,255
ifityou.ch,24.5K,Switzerland,17,35
cintiafont_psicologa,3.2K,Switzerland,115,148
kevinparada_coach,2.1K,Switzerland,163,218
waidmannralf,3.6K,Switzerland,96,116
balboamove,9.4K,Switzerland,45,67
ringgenberg.tanja,4.2K,Switzerland,80,99
leonietheyogini,3.6K,Switzerland,94,153
vstacticalphoto,2.3K,Switzerland,150,180
sportyvator,5.1K,Switzerland,67,88
celiniyoga,1.7K,Switzerland,194,298
coach_yaves,6K,Switzerland,52,67
strike_academy_,5.5K,Switzerland,112,152
tropicalgeneva,8.8K,Switzerland,69,86
matt.zz,3.7K,Switzerland,195,246
swisstriathlon,6.3K,Switzerland,88,101
everbait_official,3.1K,Switzerland,199,378
_victorgarcia_,3.3K,Switzerland,172,295
boesch.boats_official,6K,Switzerland,91,109
johntena,3.9K,Switzerland,136,205
samiradappen,4.5K,Switzerland,116,163
stree.tfisher,13.9K,Switzerland,37,52
valdrinistrefi,2.5K,Switzerland,206,327
academicsurfclub,4.8K,Switzerland,116,141
ecolededanse_zou,5.8K,Switzerland,81,98
swisssurfing,5.9K,Switzerland,95,122
nilsliess,2.1K,Switzerland,212,316
gn_1885,4.7K,Switzerland,107,125
sensopro,6.9K,Switzerland,67,75
swiss_solar_boat,2.7K,Switzerland,161,180
rachyleikela,6.3K,Switzerland,83,135
kotakun_0727,2K,Switzerland,209,264
gonser.ch,10.2K,Switzerland,39,45
jo_fisherboy,2.6K,Switzerland,158,201
alanis.siffert,2.5K,Switzerland,154,242
saby_rapelli,4.9K,Switzerland,81,145
geberit_ch,7.1K,Switzerland,51,63
taminatherme,9.6K,Switzerland,40,50
snookrap,4.6K,Switzerland,84,149
aaron_rutz,3.1K,Switzerland,139,196
joshiholy,2.5K,Switzerland,147,246
visionflyfishingswitzerland,1.5K,Switzerland,224,281
pablokreis,8.3K,Switzerland,39,55
hitsvoirin,2.1K,Switzerland,147,183
fanny.bhn54,1.5K,Switzerland,204,241
oana.surf,9.4K,Switzerland,34,40
ajp_switzerland,3.4K,Switzerland,89,107
alainschmid_flyfishing,2.5K,Switzerland,134,166
peter_foxfishing_ch,7.1K,Switzerland,42,57
rrreefs,5.1K,Switzerland,64,79
nico_lepori,1.3K,Switzerland,234,280
siusag,2.8K,Switzerland,101,120
jasmindliiii,4.6K,Switzerland,63,81
steccinsta,1.6K,Switzerland,173,278
kevin_sigona,1.7K,Switzerland,164,261
jillianjaclyn,2.7K,Switzerland,106,150
wake.hard.play.hard,2.8K,Switzerland,92,139
iamsarafranceschini,2.7K,Switzerland,93,151
lausannelasportive,6.3K,Switzerland,36,40
toppies_fishing,2.9K,Switzerland,79,98
lausanneaquatique,2.5K,Switzerland,88,106
danuuush,2.5K,Switzerland,93,126
lorisbenito,37.2K,Switzerland,1.9K,2.4K
patrick_vonkaenel,43.5K,Switzerland,1.7K,2.1K
pabsvisions,56.5K,Switzerland,1.2K,1.6K
schluukas,24.8K,Switzerland,2.5K,3.1K
alessandrakeller,47.4K,Switzerland,1.4K,1.9K
joanamaeder,54.7K,Switzerland,1.1K,1.7K
wickijoel,33K,Switzerland,1.7K,2K
tanjahueberli,29.8K,Switzerland,2K,2.6K
nicolashojac,25.6K,Switzerland,2.4K,3.1K
lucaaerni,38.4K,Switzerland,1.4K,1.7K
cecece13,30.3K,Switzerland,1.8K,2.5K
lausannehc_officiel,43.3K,Switzerland,1K,1.2K
giuliatanno,31.4K,Switzerland,1.7K,2.1K
sc_bern_official,52.7K,Switzerland,825,944
simonmarquart179,28.1K,Switzerland,1.9K,2.3K
colom_fil,37.6K,Switzerland,1.4K,1.7K
sarahhoefflin,33K,Switzerland,1.5K,2.4K
moritzboll,28.6K,Switzerland,1.7K,2.1K
blickeishockey,26.9K,Switzerland,1.5K,1.7K
valentinguillod92,63K,Switzerland,687,807
laax,80.1K,Switzerland,533,631
camille_rast,35.1K,Switzerland,1.2K,1.5K
swissolympicteam,73.1K,Switzerland,562,677
pazcal__,119.1K,Switzerland,409,566
geraldinelivia,34.7K,Switzerland,1.2K,1.6K
400gway,18.9K,Switzerland,2K,2.4K
leonardo_genoni_official,16.4K,Switzerland,2.1K,2.3K
petra_klingler,53.3K,Switzerland,694,861
elena_quirici,33K,Switzerland,1.2K,1.6K
speedflyingschool,42.6K,Switzerland,795,1K
maxheinzer,21.8K,Switzerland,1.6K,1.9K
alessandra.s97,29.3K,Switzerland,1.3K,1.7K
rahelfreyracing,18.2K,Switzerland,1.7K,2.2K
cransmontana,73.1K,Switzerland,428,518
_lisa.baumann._,20.9K,Switzerland,1.6K,1.9K
annikkaelin,15.2K,Switzerland,2.1K,2.4K
zoe.vergedepre,21.3K,Switzerland,1.6K,2.1K
official_evz,35K,Switzerland,806,908
nilsfavre,32.1K,Switzerland,1K,1.4K
officialgshc,36.2K,Switzerland,730,854
marcokohler_,11.9K,Switzerland,2.6K,3K
jibberist,20.8K,Switzerland,1.4K,1.6K
davosklosters,47.7K,Switzerland,560,624
leasprunger,30.9K,Switzerland,854,1.1K
thomaslitscher,36.2K,Switzerland,795,986
janscherrer,19.3K,Switzerland,1.5K,2K
carolinewaregeorge,49K,Switzerland,544,758
qcastellet,59K,Switzerland,412,948
ludo_may,35.2K,Switzerland,694,875
esmeeboebner,19.2K,Switzerland,1.4K,2K
